59TZQ,Red,Honda,XL,1980,Roadbike,2011-12-09,Southern
59ZPU,Black,Suzuki,AN125,2008,Roadbike,2011-06-30,Waikato
601MW,Silver,Trailer,,1969,Trailer,2011-08-10,Waitemata
6042,Red,Honda,NIFTY,0,Moped,2011-08-04,Canterbury
6045B,White,Trailer,BRIFORD 8X4'6,1996,Trailer,2011-09-13,Canterbury
6069P,Orange,Reid,TRAILER,2000,Trailer - Heavy,2011-07-15,Waitemata
60FNI,White,Anglo,,1976,Caravan,2011-08-01,Waikato
60ZRK,Silver,Harley Davidson,SPORTSTER,2008,Roadbike,2011-11-08,Waitemata
61NSZ,Green,Trailer,PINTO,1985,Trailer,2011-11-14,Waitemata
61ZMC,Pink,Moped,VMOTO MILAN,2008,Moped,2011-12-13,Auckland City
6219B,Blue,Trailer,HOMEMADE,1992,Trailer - Heavy,2011-07-19,Canterbury
626YQ,Grey,Trailer,BURNETTS,1973,Trailer,2011-11-04,Canterbury
62ZGZ,Red,Factory Built,TGB 101S,2008,Moped,2011-12-05,Wellington
62ZRZ,Orange,Yamaha,VINO,2001,Moped,2011-11-21,Auckland City
62ZUG,Blue,Peugeot,LUDIX TREND,2009,Moped,2011-10-20,Wellington
63WED,Silver,Suzuki,FX125C,2003,Roadbike,2011-11-08,Canterbury
63WMT,Silver,Moped,TGB PALIO 50,2004,Moped,2011-08-29,Canterbury
63YRM,Blue,Moped,ESCUTA SPORT,2007,Moped,2011-11-26,Canterbury
63YWG,Orange,KTM,950 ADVENTURE,2004,Roadbike,2011-11-09,Northland
6439Y,Silver,Factory Built,BRENT SMITH TRAILERS,2001,Trailer,2011-08-08,Wellington
6459Y,Silver,Trailer,6X4G,2001,Trailer,2011-06-27,Eastern
64ZLM,Red,Moped,SOLANA,2008,Moped,2011-10-11,Wellington
653CD,Green,Trailer,HOMEMADE,1962,Trailer - Heavy,2011-09-19,Canterbury
65YTC,Grey,Honda,LEAD,2002,Roadbike,2011-07-02,Wellington
